full name,url,description,size,#stars,#forks,created at,last updated,last pushed,clone url
zhangweichina111/busybox,https://github.com/zhangweichina111/busybox,git://busybox.net/busybox.git,25806,0,0,2015-10-27T05:51:44Z,2015-10-27T05:51:53Z,2015-03-22T08:00:16Z,git://github.com/zhangweichina111/busybox.git
Shimejing/busybox,https://github.com/Shimejing/busybox,git://busybox.net/busybox.git,25806,1,0,2015-09-13T15:06:09Z,2015-09-13T15:15:26Z,2015-03-22T08:00:16Z,git://github.com/Shimejing/busybox.git
yytang2012/busybox,https://github.com/yytang2012/busybox,git://busybox.net/busybox.git,26843,0,0,2015-09-12T13:20:21Z,2015-09-12T13:20:25Z,2015-09-20T18:16:28Z,git://github.com/yytang2012/busybox.git
Katarzynasrom/busybox-1,https://github.com/Katarzynasrom/busybox-1,git://busybox.net/busybox.git,25806,0,0,2015-08-21T13:48:29Z,2015-08-21T13:48:33Z,2015-03-22T08:00:16Z,git://github.com/Katarzynasrom/busybox-1.git
kangear/busybox,https://github.com/kangear/busybox,git://busybox.net/busybox.git,25806,0,0,2015-08-20T08:36:29Z,2015-08-20T08:36:33Z,2015-03-22T08:00:16Z,git://github.com/kangear/busybox.git
liudongmiao/busybox,https://github.com/liudongmiao/busybox,git://busybox.net/busybox.git,24803,0,0,2015-08-10T15:57:02Z,2015-08-10T15:57:06Z,2015-08-10T16:07:34Z,git://github.com/liudongmiao/busybox.git
cumirror/busybox,https://github.com/cumirror/busybox,git://busybox.net/busybox.git,25806,0,0,2015-08-09T09:56:21Z,2015-08-09T09:56:25Z,2015-03-22T08:00:16Z,git://github.com/cumirror/busybox.git
nickhen/busybox,https://github.com/nickhen/busybox,git://busybox.net/busybox.git,25806,0,0,2015-07-05T04:55:11Z,2015-07-05T04:55:16Z,2015-03-22T08:00:16Z,git://github.com/nickhen/busybox.git
liwq-xian/busybox,https://github.com/liwq-xian/busybox,git://busybox.net/busybox.git,25806,0,0,2015-06-30T14:52:33Z,2015-06-30T14:52:37Z,2015-03-22T08:00:16Z,git://github.com/liwq-xian/busybox.git
limohua/busybox,https://github.com/limohua/busybox,git://busybox.net/busybox.git,25806,0,0,2015-06-23T08:09:00Z,2015-06-23T08:09:04Z,2015-03-22T08:00:16Z,git://github.com/limohua/busybox.git
jaej-dev/busybox,https://github.com/jaej-dev/busybox,git://busybox.net/busybox.git,25516,0,0,2015-06-19T01:28:16Z,2015-06-19T01:34:39Z,2014-06-30T22:01:09Z,git://github.com/jaej-dev/busybox.git
outro56/busybox,https://github.com/outro56/busybox,git://busybox.net/busybox.git,25806,0,0,2015-05-13T12:59:53Z,2015-05-13T12:59:58Z,2015-03-22T08:00:16Z,git://github.com/outro56/busybox.git
toddClark333/busybox,https://github.com/toddClark333/busybox,git://busybox.net/busybox.git,25806,0,0,2015-05-03T11:24:12Z,2015-05-03T11:24:16Z,2015-03-22T08:00:16Z,git://github.com/toddClark333/busybox.git
bjoern-r/busybox,https://github.com/bjoern-r/busybox,git://busybox.net/busybox.git,24296,0,0,2015-04-15T19:35:43Z,2015-04-15T19:35:48Z,2015-04-15T19:51:35Z,git://github.com/bjoern-r/busybox.git
s05427226/busybox,https://github.com/s05427226/busybox,git://busybox.net/busybox.git,25806,0,0,2015-03-26T00:52:16Z,2015-03-26T00:52:20Z,2015-03-22T08:00:16Z,git://github.com/s05427226/busybox.git
svalleru/busybox,https://github.com/svalleru/busybox,git://busybox.net/busybox.git,25730,0,0,2015-03-20T19:32:28Z,2015-03-20T19:32:32Z,2015-03-08T08:18:54Z,git://github.com/svalleru/busybox.git
shugaoye/busybox,https://github.com/shugaoye/busybox,git://busybox.net/busybox.git,24148,0,1,2015-03-01T09:42:33Z,2015-03-01T09:42:37Z,2015-03-01T08:00:46Z,git://github.com/shugaoye/busybox.git
yanxuex/busybox,https://github.com/yanxuex/busybox,git://busybox.net/busybox.git,24122,0,0,2015-02-02T08:58:30Z,2015-02-02T08:58:34Z,2015-02-01T08:01:23Z,git://github.com/yanxuex/busybox.git
